model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize,car_age,usage_category,price_tier,annual_mileage,liquidity_score,as_bargin
 5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0,12,Высокое использование,Бюджетные,5589.0,53.3,False
 6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0,8,Высокое использование,Премиум,1853.4,73.6,False
 5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0,10,Высокое использование,Средний класс,6279.4,60.0,False
 1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5,9,Высокое использование,Бюджетные,2964.0,68.7,True
 7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0,12,Высокое использование,Бюджетные,3296.2,57.7,False
 5 Series,2016,14900,Automatic,35309,Diesel,125,60.1,2.0,10,Высокое использование,Средний класс,3530.9,64.4,False
 5 Series,2017,16000,Automatic,38538,Diesel,125,60.1,2.0,9,Высокое использование,Средний класс,4282.0,66.8,True
 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5,8,Высокое использование,Средний класс,1300.1,74.3,False
 4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0,9,Высокое использование,Бюджетные,4740.9,66.2,True
 5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0,10,Высокое использование,Бюджетные,3609.9,64.2,False
 X3,2017,15500,Manual,74907,Diesel,145,52.3,2.0,9,Высокое использование,Средний класс,8323.0,61.0,True
 1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0,9,Высокое использование,Бюджетные,3315.6,68.2,True
 X3,2016,15500,Automatic,77823,Diesel,125,54.3,2.0,10,Высокое использование,Средний класс,7782.3,57.5,True
 2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0,11,Высокое использование,Бюджетные,2860.8,62.0,True
 X3,2017,22000,Automatic,19057,Diesel,145,54.3,2.0,9,Высокое использование,Премиум,2117.4,70.0,False
 3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0,9,Высокое использование,Средний класс,1841.1,70.3,False
 3 Series,2017,14250,Automatic,55594,Other,135,148.7,2.0,9,Высокое использование,Бюджетные,6177.1,64.1,True
 3 Series,2017,16000,Automatic,45456,Diesel,30,64.2,2.0,9,Высокое использование,Средний класс,5050.7,65.7,False
 1 Series,2017,15500,Automatic,22812,Diesel,20,68.9,1.5,9,Высокое использование,Средний класс,2534.7,69.4,False
 4 Series,2014,14000,Automatic,47348,Diesel,125,60.1,2.0,12,Высокое использование,Бюджетные,3945.7,56.4,False
 1 Series,2015,9700,Automatic,75124,Diesel,20,70.6,2.0,11,Высокое использование,Бюджетные,6829.5,55.0,False
 3 Series,2015,12600,Automatic,78957,Diesel,30,62.8,2.0,11,Высокое использование,Бюджетные,7177.9,54.4,False
 3 Series,2016,15100,Automatic,29213,Diesel,30,64.2,2.0,10,Высокое использование,Средний класс,2921.3,65.3,False
 1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5,10,Высокое использование,Бюджетные,4449.8,62.9,True
 1 Series,2016,14300,Automatic,22461,Diesel,20,67.3,2.0,10,Высокое использование,Бюджетные,2246.1,66.4,False
 1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5,10,Высокое использование,Бюджетные,2300.5,66.3,False
 3 Series,2019,17800,Automatic,22310,Diesel,145,64.2,2.0,7,В хорошем состоянии,Средний класс,3187.1,75.4,True
 3 Series,2016,14400,Automatic,51994,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,5199.4,61.7,False
 X5,2016,19750,Automatic,96213,Diesel,165,52.3,2.0,10,Высокое использование,Средний класс,9621.3,54.6,True
 X3,2015,17400,Automatic,50316,Diesel,200,47.9,3.0,11,Высокое использование,Средний класс,4574.2,58.9,False
 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0,9,Высокое использование,Средний класс,4890.1,66.0,False
 X4,2017,23000,Automatic,34960,Diesel,150,54.3,2.0,9,Высокое использование,Премиум,3884.4,67.4,False
 i3,2016,17100,Automatic,25269,Other,0,470.8,0.6,10,Высокое использование,Средний класс,2526.9,66.0,False
 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0,9,Высокое использование,Премиум,2669.9,69.2,False
 1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5,9,Высокое использование,Бюджетные,2546.7,69.3,True
 2 Series,2017,13000,Automatic,61818,Other,0,141.2,1.5,9,Высокое использование,Бюджетные,6868.7,63.1,True
 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0,11,Высокое использование,Бюджетные,5421.3,57.5,True
 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,2922.6,65.3,False
 X1,2017,18900,Automatic,33514,Diesel,145,60.1,2.0,9,Высокое использование,Средний класс,3723.8,67.6,False
 1 Series,2018,14600,Automatic,6522,Petrol,145,37.2,1.5,8,Высокое использование,Бюджетные,815.2,75.0,False
 3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0,10,Высокое использование,Средний класс,1123.1,68.2,False
 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5,10,Высокое использование,Бюджетные,2159.1,66.5,False
 X3,2013,12000,Automatic,79972,Diesel,200,47.1,3.0,13,Высокое использование,Бюджетные,6151.7,48.2,False
 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5,8,Высокое использование,Средний класс,1754.6,73.8,False
 5 Series,2017,23500,Automatic,25034,Diesel,200,47.9,3.0,9,Высокое использование,Премиум,2781.6,69.0,False
 X1,2016,16700,Automatic,44478,Diesel,125,60.1,2.0,10,Высокое использование,Средний класс,4447.8,62.9,False
 X3,2017,18000,Automatic,74852,Diesel,150,47.1,3.0,9,Высокое использование,Средний класс,8316.9,61.0,True
 4 Series,2016,15500,Automatic,45856,Diesel,30,65.7,2.0,10,Высокое использование,Средний класс,4585.6,62.7,False
 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5,10,Высокое использование,Бюджетные,4885.8,62.2,True
 1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0,9,Высокое использование,Бюджетные,4488.8,66.5,True
 1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0,10,Высокое использование,Бюджетные,1739.3,67.2,False
 5 Series,2014,11000,Automatic,84816,Diesel,30,62.8,2.0,12,Высокое использование,Бюджетные,7068.0,50.4,True
 3 Series,2017,18500,Automatic,27139,Diesel,160,51.4,3.0,9,Высокое использование,Средний класс,3015.4,68.7,False
 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0,9,Высокое использование,Бюджетные,10173.7,58.3,True
 3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0,12,Высокое использование,Бюджетные,2678.2,58.9,False
 X1,2017,14000,Automatic,54120,Diesel,30,65.7,2.0,9,Высокое использование,Бюджетные,6013.3,64.3,True
 X1,2017,14000,Manual,20925,Diesel,150,68.9,2.0,9,Высокое использование,Бюджетные,2325.0,69.7,True
 3 Series,2016,12750,Manual,30521,Diesel,20,68.9,2.0,10,Высокое использование,Бюджетные,3052.1,65.1,True
 X1,2018,18000,Manual,16066,Petrol,150,51.4,1.5,8,Высокое использование,Средний класс,2008.2,73.4,True
 1 Series,2015,11100,Manual,11524,Diesel,0,83.1,1.5,11,Высокое использование,Бюджетные,1047.6,65.2,False
 1 Series,2017,12700,Manual,21809,Petrol,145,53.3,1.5,9,Высокое использование,Бюджетные,2423.2,69.5,True
 1 Series,2017,14500,Automatic,27245,Diesel,145,68.9,2.0,9,Высокое использование,Бюджетные,3027.2,68.6,False
 3 Series,2013,12750,Automatic,35736,Diesel,125,58.9,2.0,13,Высокое использование,Бюджетные,2748.9,55.3,False
 X1,2017,14100,Automatic,55782,Diesel,145,65.7,2.0,9,Высокое использование,Бюджетные,6198.0,64.1,True
 1 Series,2016,10800,Manual,26404,Petrol,125,53.3,1.5,10,Высокое использование,Бюджетные,2640.4,65.8,False
 1 Series,2016,13000,Manual,26631,Petrol,125,52.3,1.5,10,Высокое использование,Бюджетные,2663.1,65.7,False
 1 Series,2016,12500,Manual,24111,Petrol,145,47.1,1.6,10,Высокое использование,Бюджетные,2411.1,66.1,False
 3 Series,2017,13600,Manual,22763,Petrol,145,48.7,2.0,9,Высокое использование,Бюджетные,2529.2,69.4,True
 3 Series,2016,12700,Manual,17385,Diesel,20,72.4,2.0,10,Высокое использование,Бюджетные,1738.5,67.2,True
 5 Series,2016,15600,Automatic,35474,Diesel,125,60.1,2.0,10,Высокое использование,Средний класс,3547.4,64.3,False
 4 Series,2016,15250,Manual,16584,Diesel,30,62.8,2.0,10,Высокое использование,Средний класс,1658.4,67.3,False
 1 Series,2018,11700,Manual,30273,Diesel,145,53.3,1.5,8,Высокое использование,Бюджетные,3784.1,71.2,True
 2 Series,2017,10900,Manual,62021,Diesel,145,65.7,2.0,9,Высокое использование,Бюджетные,6891.2,63.1,True
 5 Series,2016,14400,Automatic,51552,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,5155.2,61.8,False
 1 Series,2016,11100,Manual,29508,Petrol,125,53.3,1.5,10,Высокое использование,Бюджетные,2950.8,65.3,False
 1 Series,2017,11100,Manual,30865,Diesel,145,72.4,1.5,9,Высокое использование,Бюджетные,3429.4,68.1,True
 5 Series,2014,12400,Automatic,46356,Diesel,30,62.8,2.0,12,Высокое использование,Бюджетные,3863.0,56.6,False
 1 Series,2016,12800,Manual,18343,Diesel,20,70.6,1.5,10,Высокое использование,Бюджетные,1834.3,67.1,False
 5 Series,2014,15000,Automatic,13858,Diesel,125,57.6,2.0,12,Высокое использование,Средний класс,1154.8,61.8,False
 2 Series,2017,12750,Manual,33752,Petrol,125,52.3,1.5,9,Высокое использование,Бюджетные,3750.2,67.6,True
 X3,2016,21750,Automatic,19083,Diesel,150,54.3,2.0,10,Высокое использование,Премиум,1908.3,66.9,False
 2 Series,2017,13900,Automatic,46281,Petrol,125,51.4,1.5,9,Высокое использование,Бюджетные,5142.3,65.6,False
 X1,2017,14000,Automatic,54183,Diesel,150,65.7,2.0,9,Высокое использование,Бюджетные,6020.3,64.3,True
 X1,2017,15200,Automatic,36701,Diesel,30,65.7,2.0,9,Высокое использование,Средний класс,4077.9,67.1,True
 3 Series,2017,13500,Automatic,48082,Petrol,150,51.4,2.0,9,Высокое использование,Бюджетные,5342.4,65.3,True
 X1,2016,12150,Manual,77482,Diesel,20,68.9,2.0,10,Высокое использование,Бюджетные,7748.2,57.6,True
 2 Series,2017,16000,Automatic,32389,Other,0,141.2,1.5,9,Высокое использование,Средний класс,3598.8,67.8,False
 5 Series,2016,14000,Automatic,39235,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,3923.5,63.7,False
 3 Series,2018,19490,Automatic,30703,Diesel,145,57.6,2.0,8,Высокое использование,Средний класс,3837.9,71.1,False
 1 Series,2015,15499,Semi-Auto,20000,Diesel,125,60.1,2.0,11,Высокое использование,Средний класс,1818.2,63.8,False
 2 Series,2017,13000,Semi-Auto,34971,Diesel,150,72.4,1.5,9,Высокое использование,Бюджетные,3885.7,67.4,True
 1 Series,2014,10600,Semi-Auto,44900,Diesel,30,64.2,2.0,12,Высокое использование,Бюджетные,3741.7,56.8,False
 X3,2017,23000,Semi-Auto,16945,Diesel,150,54.3,2.0,9,Высокое использование,Премиум,1882.8,70.3,False
 M4,2016,29998,Semi-Auto,34209,Petrol,300,34.0,3.0,10,Высокое использование,Люкс,3420.9,64.5,False
 1 Series,2017,12498,Manual,14138,Diesel,20,72.4,1.5,9,Высокое использование,Бюджетные,1570.9,70.7,True
 1 Series,2015,7948,Manual,74375,Diesel,30,65.7,2.0,11,Высокое использование,Бюджетные,6761.4,55.1,True
